date,dji
16JAN2001,10652.66
17JAN2001,10584.34
18JAN2001,10678.28
19JAN2001,10587.59
22JAN2001,10578.24
23JAN2001,10649.81
24JAN2001,10646.97
25JAN2001,10729.52
26JAN2001,10659.98
29JAN2001,10702.19
30JAN2001,10881.2
31JAN2001,10887.36
01FEB2001,10983.62
02FEB2001,10864.1
05FEB2001,10965.85
06FEB2001,10957.42
07FEB2001,10946.72
08FEB2001,10880.55
09FEB2001,10781.45
12FEB2001,10946.77
13FEB2001,10903.32
14FEB2001,10795.41
15FEB2001,10891.02
16FEB2001,10799.82
19FEB2001,10799.82
20FEB2001,10730.88
21FEB2001,10526.58
22FEB2001,10526.81
23FEB2001,10441.9
26FEB2001,10642.53
27FEB2001,10636.88
28FEB2001,10495.28
01MAR2001,10450.14
02MAR2001,10466.31
05MAR2001,10562.3
06MAR2001,10591.22
07MAR2001,10729.6
08MAR2001,10858.25
09MAR2001,10644.62
12MAR2001,10208.25
13MAR2001,10290.8
14MAR2001,9973.46
15MAR2001,10031.28
16MAR2001,9823.41
19MAR2001,9959.11
20MAR2001,9720.76
21MAR2001,9487
22MAR2001,9389.48
23MAR2001,9504.78
26MAR2001,9687.53
27MAR2001,9947.54
28MAR2001,9785.35
29MAR2001,9799.06
30MAR2001,9878.78
02APR2001,9777.93
03APR2001,9485.71
04APR2001,9515.42
05APR2001,9918.05
06APR2001,9791.09
09APR2001,9845.15
10APR2001,10102.74
11APR2001,10013.47
12APR2001,10126.94
13APR2001,10126.94
16APR2001,10158.56
17APR2001,10216.73
18APR2001,10615.83
19APR2001,10693.71
20APR2001,10579.85
23APR2001,10532.23
24APR2001,10454.34
25APR2001,10625.2
26APR2001,10692.35
27APR2001,10810.05
30APR2001,10734.97
01MAY2001,10898.34
02MAY2001,10876.68
03MAY2001,10796.65
04MAY2001,10951.24
07MAY2001,10935.17
08MAY2001,10883.51
09MAY2001,10866.98
10MAY2001,10910.44
11MAY2001,10821.31
14MAY2001,10877.33
15MAY2001,10872.97
16MAY2001,11215.92
17MAY2001,11248.58
18MAY2001,11301.74
21MAY2001,11337.92
22MAY2001,11257.24
23MAY2001,11105.51
24MAY2001,11122.42
25MAY2001,11005.37
28MAY2001,11005.37
29MAY2001,11039.14
30MAY2001,10872.64
31MAY2001,10911.94
01JUN2001,10990.41
04JUN2001,11061.52
05JUN2001,11175.84
06JUN2001,11070.24
07JUN2001,11090.74
08JUN2001,10977
11JUN2001,10922.09
12JUN2001,10948.38
13JUN2001,10871.62
14JUN2001,10690.13
15JUN2001,10623.64
18JUN2001,10645.38
19JUN2001,10596.67
20JUN2001,10647.33
21JUN2001,10715.43
22JUN2001,10604.59
25JUN2001,10504.22
26JUN2001,10472.48
27JUN2001,10434.84
28JUN2001,10566.21
29JUN2001,10502.4
02JUL2001,10593.72
03JUL2001,10571.11
05JUL2001,10479.86
06JUL2001,10252.68
09JUL2001,10299.4
10JUL2001,10175.64
11JUL2001,10241.02
12JUL2001,10478.99
13JUL2001,10539.06
16JUL2001,10472.12
17JUL2001,10606.39
18JUL2001,10569.83
19JUL2001,10610
20JUL2001,10576.65
23JUL2001,10424.42
24JUL2001,10241.12
25JUL2001,10405.67
26JUL2001,10455.63
27JUL2001,10416.67
30JUL2001,10401.72
31JUL2001,10522.81
01AUG2001,10510.01
02AUG2001,10551.18
03AUG2001,10512.78
06AUG2001,10401.31
07AUG2001,10458.74
08AUG2001,10293.5
09AUG2001,10298.56
10AUG2001,10416.25
13AUG2001,10415.91
14AUG2001,10412.17
15AUG2001,10345.95
16AUG2001,10392.52
17AUG2001,10240.78
20AUG2001,10320.07
21AUG2001,10174.14
22AUG2001,10276.9
23AUG2001,10229.15
24AUG2001,10423.17
27AUG2001,10382.35
28AUG2001,10222.03
29AUG2001,10090.9
30AUG2001,9919.58
31AUG2001,9949.75
04SEP2001,9997.49
05SEP2001,10033.27
06SEP2001,9840.84
07SEP2001,9605.85
10SEP2001,9605.51
11SEP2001,9605.51
12SEP2001,9605.51
14SEP2001,9605.51
17SEP2001,8920.7
18SEP2001,8903.4
19SEP2001,8759.13
20SEP2001,8376.21
21SEP2001,8235.81
24SEP2001,8603.86
25SEP2001,8659.97
26SEP2001,8567.39
27SEP2001,8681.42
28SEP2001,8847.56
01OCT2001,8836.83
02OCT2001,8950.59
03OCT2001,9123.78
04OCT2001,9060.88
05OCT2001,9119.77
08OCT2001,9067.94
09OCT2001,9052.44
10OCT2001,9240.86
11OCT2001,9410.45
12OCT2001,9344.16
15OCT2001,9347.62
16OCT2001,9384.23
17OCT2001,9232.97
18OCT2001,9163.22
19OCT2001,9204.11
22OCT2001,9377.03
23OCT2001,9340.08
24OCT2001,9345.62
25OCT2001,9462.9
26OCT2001,9545.17
29OCT2001,9269.5
30OCT2001,9121.98
31OCT2001,9075.14
01NOV2001,9263.9
02NOV2001,9323.54
05NOV2001,9441.03
06NOV2001,9591.12
07NOV2001,9554.37
08NOV2001,9587.52
09NOV2001,9608
12NOV2001,9554.37
13NOV2001,9750.95
14NOV2001,9823.61
15NOV2001,9872.39
16NOV2001,9866.99
19NOV2001,9976.46
20NOV2001,9901.38
21NOV2001,9834.68
23NOV2001,9959.71
26NOV2001,9982.75
27NOV2001,9872.6
28NOV2001,9711.86
29NOV2001,9829.42
30NOV2001,9851.56
03DEC2001,9763.96
04DEC2001,9893.84
05DEC2001,10114.29
06DEC2001,10099.14
07DEC2001,10049.46
10DEC2001,9921.45
11DEC2001,9888.37
12DEC2001,9894.81
13DEC2001,9766.45
14DEC2001,9811.15
17DEC2001,9891.97
18DEC2001,9998.39
19DEC2001,10070.49
20DEC2001,9985.18
21DEC2001,10035.34
24DEC2001,10035.34
26DEC2001,10088.14
27DEC2001,10131.31
28DEC2001,10136.99
31DEC2001,10021.5
02JAN2002,10073.4
03JAN2002,10172.14
04JAN2002,10259.74
07JAN2002,10197.05
08JAN2002,10150.55
09JAN2002,10094.09
10JAN2002,10067.86
11JAN2002,9987.53
14JAN2002,9891.42
15JAN2002,9924.15
16JAN2002,9712.27
17JAN2002,9850.04
18JAN2002,9771.85
22JAN2002,9713.8
23JAN2002,9730.96
24JAN2002,9796.07
25JAN2002,9840.08
28JAN2002,9865.75
29JAN2002,9618.24
30JAN2002,9762.86
31JAN2002,9920
01FEB2002,9907.26
04FEB2002,9687.09
05FEB2002,9685.43
06FEB2002,9653.39
07FEB2002,9625.44
08FEB2002,9744.24
11FEB2002,9884.78
12FEB2002,9863.74
13FEB2002,9989.67
14FEB2002,10001.99
15FEB2002,9903.04
19FEB2002,9745.14
20FEB2002,9941.17
21FEB2002,9834.68
22FEB2002,9968.15
25FEB2002,10145.71
26FEB2002,10115.26
27FEB2002,10127.58
28FEB2002,10106.13
01MAR2002,10368.86
04MAR2002,10586.82
05MAR2002,10433.41
06MAR2002,10574.29
07MAR2002,10525.37
08MAR2002,10572.49
11MAR2002,10611.24
12MAR2002,10632.35
13MAR2002,10501.85
14MAR2002,10517.14
15MAR2002,10607.23
18MAR2002,10577.75
19MAR2002,10635.25
20MAR2002,10501.57
21MAR2002,10479.84
22MAR2002,10427.67
25MAR2002,10281.67
26MAR2002,10353.36
27MAR2002,10426.91
28MAR2002,10403.94
01APR2002,10362.7
02APR2002,10313.71
03APR2002,10198.29
04APR2002,10235.17
05APR2002,10271.64
08APR2002,10249.08
09APR2002,10208.67
10APR2002,10381.73
11APR2002,10176.08
12APR2002,10190.82
15APR2002,10093.67
16APR2002,10301.32
17APR2002,10220.78
18APR2002,10205.28
19APR2002,10257.11
22APR2002,10136.43
23APR2002,10089.24
24APR2002,10030.43
25APR2002,10035.06
26APR2002,9910.72
29APR2002,9819.87
30APR2002,9946.22
01MAY2002,10059.63
02MAY2002,10091.87
03MAY2002,10006.63
06MAY2002,9808.04
07MAY2002,9836.55
08MAY2002,10141.83
09MAY2002,10037.42
10MAY2002,9939.92
13MAY2002,10109.66
14MAY2002,10298.14
15MAY2002,10243.68
16MAY2002,10289.21
17MAY2002,10353.08
20MAY2002,10229.5
21MAY2002,10105.71
22MAY2002,10157.88
23MAY2002,10216.08
24MAY2002,10104.26
28MAY2002,9981.58
29MAY2002,9923.04
30MAY2002,9911.69
31MAY2002,9925.25
03JUN2002,9709.79
04JUN2002,9687.84
05JUN2002,9796.8
06JUN2002,9624.64
07JUN2002,9589.67
10JUN2002,9645.4
11JUN2002,9517.26
12JUN2002,9617.71
13JUN2002,9502.8
14JUN2002,9474.21
17JUN2002,9687.42
18JUN2002,9706.12
19JUN2002,9561.57
20JUN2002,9431.77
21JUN2002,9253.79
24JUN2002,9281.82
25JUN2002,9126.82
26JUN2002,9120.11
27JUN2002,9269.92
28JUN2002,9243.26
01JUL2002,9109.79
02JUL2002,9007.75
03JUL2002,9054.97
05JUL2002,9379.5
08JUL2002,9274.9
09JUL2002,9096.09
10JUL2002,8813.5
11JUL2002,8801.53
12JUL2002,8684.53
15JUL2002,8639.19
16JUL2002,8473.11
17JUL2002,8542.48
18JUL2002,8409.49
19JUL2002,8019.26
22JUL2002,7784.58
23JUL2002,7702.34
24JUL2002,8191.29
25JUL2002,8186.31
26JUL2002,8264.39
29JUL2002,8711.88
30JUL2002,8680.03
31JUL2002,8736.59
01AUG2002,8506.62
02AUG2002,8313.13
05AUG2002,8043.63
06AUG2002,8274.09
07AUG2002,8456.15
08AUG2002,8712.02
09AUG2002,8745.45
12AUG2002,8688.89
13AUG2002,8482.39
14AUG2002,8743.31
15AUG2002,8818.14
16AUG2002,8778.06
19AUG2002,8990.79
20AUG2002,8872.07
21AUG2002,8957.23
22AUG2002,9053.64
23AUG2002,8872.96
26AUG2002,8919.01
27AUG2002,8824.41
28AUG2002,8694.09
29AUG2002,8670.99
30AUG2002,8663.5
03SEP2002,8308.05
04SEP2002,8425.12
05SEP2002,8283.7
06SEP2002,8427.2
09SEP2002,8519.38
10SEP2002,8602.61
11SEP2002,8581.17
12SEP2002,8379.41
13SEP2002,8312.69
16SEP2002,8380.18
17SEP2002,8207.55
18SEP2002,8172.45
19SEP2002,7942.39
20SEP2002,7986.02
23SEP2002,7872.15
24SEP2002,7683.13
25SEP2002,7841.82
26SEP2002,7997.12
27SEP2002,7701.45
30SEP2002,7591.93
01OCT2002,7938.79
02OCT2002,7755.61
03OCT2002,7717.19
04OCT2002,7528.4
07OCT2002,7422.84
08OCT2002,7501.49
09OCT2002,7286.27
10OCT2002,7533.95
11OCT2002,7850.29
14OCT2002,7877.4
15OCT2002,8255.68
16OCT2002,8036.03
17OCT2002,8275.04
18OCT2002,8322.4
21OCT2002,8538.24
22OCT2002,8450.16
23OCT2002,8494.27
24OCT2002,8317.34
25OCT2002,8443.99
28OCT2002,8368.04
29OCT2002,8368.94
30OCT2002,8427.41
31OCT2002,8397.03
01NOV2002,8517.64
04NOV2002,8571.6
05NOV2002,8678.27
06NOV2002,8771.01
07NOV2002,8586.24
08NOV2002,8537.13
11NOV2002,8358.95
12NOV2002,8386
13NOV2002,8398.49
14NOV2002,8542.13
15NOV2002,8579.09
18NOV2002,8486.57
19NOV2002,8474.78
20NOV2002,8623.01
21NOV2002,8845.15
22NOV2002,8804.84
25NOV2002,8849.4
26NOV2002,8676.42
27NOV2002,8931.68
29NOV2002,8896.09
02DEC2002,8862.57
03DEC2002,8742.93
04DEC2002,8737.85
05DEC2002,8623.28
06DEC2002,8645.77
09DEC2002,8473.41
10DEC2002,8574.26
11DEC2002,8589.14
12DEC2002,8538.4
13DEC2002,8433.71
16DEC2002,8627.4
17DEC2002,8535.39
18DEC2002,8447.35
19DEC2002,8364.8
20DEC2002,8511.32
23DEC2002,8493.29
24DEC2002,8448.11
26DEC2002,8432.61
27DEC2002,8303.78
30DEC2002,8332.85
31DEC2002,8341.63
02JAN2003,8607.52
03JAN2003,8601.69
06JAN2003,8773.57
07JAN2003,8740.59
08JAN2003,8595.31
09JAN2003,8776.18
10JAN2003,8784.89
13JAN2003,8785.98
14JAN2003,8842.62
15JAN2003,8723.18
16JAN2003,8697.87
17JAN2003,8586.74
21JAN2003,8442.9
22JAN2003,8318.73
23JAN2003,8369.47
24JAN2003,8131.01
27JAN2003,7989.56
28JAN2003,8088.84
29JAN2003,8110.71
30JAN2003,7945.13
31JAN2003,8053.81
03FEB2003,8109.82
04FEB2003,8013.29
05FEB2003,7985.18
06FEB2003,7929.3
07FEB2003,7864.23
10FEB2003,7920.11
11FEB2003,7843.11
12FEB2003,7758.17
13FEB2003,7749.87
14FEB2003,7908.8
18FEB2003,8041.15
19FEB2003,8000.6
20FEB2003,7914.96
21FEB2003,8018.11
24FEB2003,7858.24
25FEB2003,7909.5
26FEB2003,7806.98
27FEB2003,7884.99
28FEB2003,7891.08
03MAR2003,7837.86
04MAR2003,7704.87
05MAR2003,7775.6
06MAR2003,7673.99
07MAR2003,7740.03
10MAR2003,7568.18
11MAR2003,7524.06
12MAR2003,7552.07
13MAR2003,7821.75
14MAR2003,7859.71
17MAR2003,8141.92
18MAR2003,8194.23
19MAR2003,8265.45
20MAR2003,8286.6
21MAR2003,8521.97
24MAR2003,8214.68
25MAR2003,8280.23
26MAR2003,8229.88
27MAR2003,8201.45
28MAR2003,8145.77
31MAR2003,7992.13
01APR2003,8069.86
02APR2003,8285.06
03APR2003,8240.38
04APR2003,8277.15
07APR2003,8300.41
08APR2003,8298.92
09APR2003,8197.94
10APR2003,8221.33
11APR2003,8203.41
14APR2003,8351.1
15APR2003,8402.36
16APR2003,8257.61
17APR2003,8337.65
21APR2003,8328.9
22APR2003,8484.99
23APR2003,8515.66
24APR2003,8440.04
25APR2003,8306.35
28APR2003,8471.61
29APR2003,8502.99
30APR2003,8480.09
01MAY2003,8454.25
02MAY2003,8582.68
05MAY2003,8531.57
06MAY2003,8588.36
07MAY2003,8560.63
08MAY2003,8491.22
09MAY2003,8604.6
12MAY2003,8726.73
13MAY2003,8679.25
14MAY2003,8647.82
15MAY2003,8713.14
16MAY2003,8678.97
19MAY2003,8493.39
20MAY2003,8491.36
21MAY2003,8516.43
22MAY2003,8594.02
23MAY2003,8601.38
27MAY2003,8781.35
28MAY2003,8793.12
29MAY2003,8711.18
30MAY2003,8850.26
02JUN2003,8897.81
03JUN2003,8922.95
04JUN2003,9038.98
05JUN2003,9041.3
06JUN2003,9062.79
09JUN2003,8980
10JUN2003,9054.89
11JUN2003,9183.22
12JUN2003,9196.55
13JUN2003,9117.12
16JUN2003,9318.96
17JUN2003,9323.02
18JUN2003,9293.8
19JUN2003,9179.53
20JUN2003,9200.75
23JUN2003,9072.95
24JUN2003,9109.85
25JUN2003,9011.53
26JUN2003,9079.04
27JUN2003,8989.05
30JUN2003,8985.44
01JUL2003,9040.95
02JUL2003,9142.84
03JUL2003,9070.21
07JUL2003,9216.79
08JUL2003,9223.09
09JUL2003,9156.21
10JUL2003,9036.04
11JUL2003,9119.59
14JUL2003,9177.15
15JUL2003,9128.97
16JUL2003,9094.59
17JUL2003,9050.82
18JUL2003,9188.15
21JUL2003,9096.69
22JUL2003,9158.45
23JUL2003,9194.24
24JUL2003,9112.51
25JUL2003,9284.57
28JUL2003,9266.51
29JUL2003,9204.46
30JUL2003,9200.05
31JUL2003,9233.8
01AUG2003,9153.97
04AUG2003,9186.04
05AUG2003,9036.32
06AUG2003,9061.74
07AUG2003,9126.45
08AUG2003,9191.09
11AUG2003,9217.35
12AUG2003,9310.06
13AUG2003,9271.76
14AUG2003,9310.56
15AUG2003,9321.69
18AUG2003,9412.45
19AUG2003,9428.9
20AUG2003,9397.51
21AUG2003,9423.68
22AUG2003,9348.87
25AUG2003,9317.64
26AUG2003,9340.45
27AUG2003,9333.79
28AUG2003,9374.21
29AUG2003,9415.82
02SEP2003,9523.27
03SEP2003,9568.46
04SEP2003,9587.9
05SEP2003,9503.34
08SEP2003,9586.29
09SEP2003,9507.2
10SEP2003,9420.46
11SEP2003,9459.76
12SEP2003,9471.55
15SEP2003,9448.81
16SEP2003,9567.34
17SEP2003,9545.65
18SEP2003,9659.13
19SEP2003,9644.82
22SEP2003,9535.41
23SEP2003,9576.04
24SEP2003,9425.51
25SEP2003,9343.96
26SEP2003,9313.08
29SEP2003,9380.24
30SEP2003,9275.06
01OCT2003,9469.2
02OCT2003,9487.8
03OCT2003,9572.31
06OCT2003,9594.98
07OCT2003,9654.61
08OCT2003,9630.9
09OCT2003,9680.01
10OCT2003,9674.68
13OCT2003,9764.38
14OCT2003,9812.98
15OCT2003,9803.05
16OCT2003,9791.72
17OCT2003,9721.79
20OCT2003,9777.94
21OCT2003,9747.64
22OCT2003,9598.24
23OCT2003,9613.13
24OCT2003,9582.46
27OCT2003,9608.16
28OCT2003,9748.31
29OCT2003,9774.53
30OCT2003,9786.61
31OCT2003,9801.12
03NOV2003,9858.46
04NOV2003,9838.83
05NOV2003,9820.83
06NOV2003,9856.97
07NOV2003,9809.79
10NOV2003,9756.53
11NOV2003,9737.79
12NOV2003,9848.83
13NOV2003,9837.94
14NOV2003,9768.68
17NOV2003,9710.83
18NOV2003,9624.16
19NOV2003,9690.46
20NOV2003,9619.42
21NOV2003,9628.53
24NOV2003,9747.79
25NOV2003,9763.94
26NOV2003,9779.57
28NOV2003,9782.46
01DEC2003,9899.05
02DEC2003,9853.64
03DEC2003,9873.42
04DEC2003,9930.82
05DEC2003,9862.68
08DEC2003,9965.27
09DEC2003,9923.42
10DEC2003,9921.86
11DEC2003,10008.16
12DEC2003,10042.16
15DEC2003,10022.82
16DEC2003,10129.56
17DEC2003,10145.26
18DEC2003,10248.08
19DEC2003,10278.22
22DEC2003,10338
23DEC2003,10341.26
24DEC2003,10305.19
26DEC2003,10324.67
29DEC2003,10450
30DEC2003,10425.04
31DEC2003,10453.92
02JAN2004,10409.85
05JAN2004,10544.07
06JAN2004,10538.66
07JAN2004,10529.03
08JAN2004,10592.44
09JAN2004,10458.89
12JAN2004,10485.18
13JAN2004,10427.18
14JAN2004,10538.37
15JAN2004,10553.85
16JAN2004,10600.51
20JAN2004,10528.66
21JAN2004,10623.62
22JAN2004,10623.18
23JAN2004,10568.29
26JAN2004,10702.51
27JAN2004,10609.92
28JAN2004,10468.37
29JAN2004,10510.29
30JAN2004,10488.07
02FEB2004,10499.18
03FEB2004,10505.18
04FEB2004,10470.74
05FEB2004,10495.55
06FEB2004,10593.03
09FEB2004,10579.03
10FEB2004,10613.85
11FEB2004,10737.7
12FEB2004,10694.07
13FEB2004,10627.85
17FEB2004,10714.88
18FEB2004,10671.99
19FEB2004,10664.73
20FEB2004,10619.03
23FEB2004,10609.62
24FEB2004,10566.37
25FEB2004,10601.62
26FEB2004,10580.14
27FEB2004,10583.92
01MAR2004,10678.14
02MAR2004,10591.48
03MAR2004,10593.11
04MAR2004,10588
05MAR2004,10595.55
08MAR2004,10529.48
09MAR2004,10456.96
10MAR2004,10296.89
11MAR2004,10128.38
12MAR2004,10240.08
15MAR2004,10102.89
16MAR2004,10184.67
17MAR2004,10300.3
18MAR2004,10295.78
19MAR2004,10186.6
22MAR2004,10064.75
23MAR2004,10063.64
24MAR2004,10048.23
25MAR2004,10218.82
26MAR2004,10212.97
29MAR2004,10329.63
30MAR2004,10381.7
31MAR2004,10357.7
01APR2004,10373.33
02APR2004,10470.59
05APR2004,10558.37
06APR2004,10570.81
07APR2004,10480.15
08APR2004,10442.03
12APR2004,10515.56
13APR2004,10381.28
14APR2004,10377.95
15APR2004,10397.46
16APR2004,10451.97
19APR2004,10437.85
20APR2004,10314.5
21APR2004,10317.27
22APR2004,10461.2
23APR2004,10472.84
26APR2004,10444.73
27APR2004,10478.16
28APR2004,10342.6
29APR2004,10272.27
30APR2004,10225.57
03MAY2004,10314
04MAY2004,10317.2
05MAY2004,10310.95
06MAY2004,10241.26
07MAY2004,10117.34
10MAY2004,9990.02
11MAY2004,10019.47
12MAY2004,10045.16
13MAY2004,10010.74
14MAY2004,10012.87
17MAY2004,9906.91
18MAY2004,9968.51
19MAY2004,9937.71
20MAY2004,9937.64
21MAY2004,9966.74
24MAY2004,9958.43
25MAY2004,10117.62
26MAY2004,10109.89
27MAY2004,10205.2
28MAY2004,10188.45
01JUN2004,10202.65
02JUN2004,10262.97
03JUN2004,10195.91
04JUN2004,10242.82
07JUN2004,10391.08
08JUN2004,10432.52
09JUN2004,10368.44
